fuzz: elapsed: 0s, gathering baseline coverage: 0/177 completed
fuzz: elapsed: 12m45s, execs: 694855 (187/sec), new interesting: 870 (total: 1047)
fuzz: elapsed: 12m48s, execs: 696709 (617/sec), new interesting: 875 (total: 1052)
fuzz: elapsed: 12m51s, execs: 697805 (366/sec), new interesting: 879 (total: 1056)
fuzz: elapsed: 12m54s, execs: 698731 (309/sec), new interesting: 883 (total: 1060)
fuzz: elapsed: 12m57s, execs: 698731 (0/sec), new interesting: 883 (total: 1060)
fuzz: elapsed: 13m0s, execs: 701575 (948/sec), new interesting: 884 (total: 1061)
fuzz: elapsed: 13m3s, execs: 702789 (404/sec), new interesting: 886 (total: 1063)
fuzz: elapsed: 13m6s, execs: 704136 (449/sec), new interesting: 891 (total: 1068)
fuzz: elapsed: 13m9s, execs: 706523 (795/sec), new interesting: 896 (total: 1073)
fuzz: elapsed: 13m12s, execs: 708624 (700/sec), new interesting: 901 (total: 1078)
fuzz: elapsed: 13m15s, execs: 709827 (401/sec), new interesting: 903 (total: 1080)
fuzz: elapsed: 13m18s, execs: 721865 (4010/sec), new interesting: 909 (total: 1086)
fuzz: elapsed: 13m21s, execs: 722760 (298/sec), new interesting: 911 (total: 1088)
fuzz: elapsed: 13m24s, execs: 722760 (0/sec), new interesting: 911 (total: 1088)
fuzz: elapsed: 13m27s, execs: 725773 (1004/sec), new interesting: 916 (total: 1093)
fuzz: elapsed: 13m30s, execs: 726751 (326/sec), new interesting: 919 (total: 1096)
fuzz: elapsed: 13m33s, execs: 731192 (1480/sec), new interesting: 920 (total: 1097)
fuzz: elapsed: 13m36s, execs: 732528 (445/sec), new interesting: 923 (total: 1100)
fuzz: elapsed: 13m39s, execs: 734216 (563/sec), new interesting: 925 (total: 1102)
fuzz: elapsed: 13m42s, execs: 736938 (907/sec), new interesting: 928 (total: 1105)
fuzz: elapsed: 13m45s, execs: 739703 (922/sec), new interesting: 937 (total: 1114)
fuzz: elapsed: 13m48s, execs: 742009 (769/sec), new interesting: 945 (total: 1122)
fuzz: elapsed: 13m51s, execs: 744945 (978/sec), new interesting: 952 (total: 1129)
