fuzz: elapsed: 0s, gathering baseline coverage: 0/3 completed
fuzz: elapsed: 10m12s, execs: 10398146 (20920/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m15s, execs: 10464038 (21960/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m18s, execs: 10527965 (21308/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m21s, execs: 10593281 (21779/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m24s, execs: 10655464 (20721/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m27s, execs: 10720464 (21667/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m30s, execs: 10785092 (21545/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m33s, execs: 10847639 (20847/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m36s, execs: 10911430 (21271/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m39s, execs: 10974696 (21082/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m42s, execs: 11037331 (20877/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m45s, execs: 11095352 (19342/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m48s, execs: 11141749 (15468/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m51s, execs: 11192138 (16794/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m54s, execs: 11256559 (21474/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m57s, execs: 11321194 (21546/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m0s, execs: 11383753 (20853/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m3s, execs: 11447571 (21278/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m6s, execs: 11511387 (21274/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m9s, execs: 11576363 (21652/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m12s, execs: 11641352 (21663/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m15s, execs: 11704415 (21023/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m18s, execs: 11766561 (20713/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m21s, execs: 11826764 (20068/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m24s, execs: 11888399 (20545/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m27s, execs: 11947233 (19611/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m30s, execs: 12008251 (20339/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m33s, execs: 12069500 (20416/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m36s, execs: 12132435 (20978/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m39s, execs: 12197664 (21745/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m42s, execs: 12259721 (20684/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m45s, execs: 12323411 (21234/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m48s, execs: 12388180 (21593/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m51s, execs: 12451534 (21112/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m54s, execs: 12518238 (22234/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 11m57s, execs: 12580877 (20886/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 12m0s, execs: 12641782 (20297/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 12m0s, execs: 12641782 (0/sec), new interesting: 34 (total: 37)
PASS
ok  	github.com/DataDog/dd-iast-go/internal/taint/propagation	720.367s
      721.29 real      1316.61 user       103.27 sys
           262438912  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
               76795  page reclaims
                7786  page faults
                   0  swaps
                   0  block input operations
                   0  block output operations
                   0  messages sent
                   0  messages received
               75371  signals received
               40316  voluntary context switches
            25226703  involuntary context switches
          3479557288  instructions retired
          1714429336  cycles elapsed
            24642232  peak memory footprint
EXIT=0
